"date","q1","q2","q3","id.miller","hh.maize.q6","hh.maize.q6a","hh.maize.q6b","hh.maize.q6c","hh.maize.q6d","hh.maize.q6e","hh.maize.other_q6e","hh.maize.q6f","hh.maize.q6g","hh.maize.q7","hh.maize.q8","hh.maize.q9","hh.maize.q10.a","hh.maize.q10.b","hh.maize.q10.c","hh.maize.q10.d","hh.maize.q10.e","hh.maize.q10.f","hh.maize.q10.g","hh.maize.q10.h","hh.maize.q10.96","hh.maize.other_q10","hh.maize.q11","hh.maize.q11b","hh.maize.q12","hh.maize.q13","hh.maize.q14.1","hh.maize.q14.2","hh.maize.q14.3","hh.maize.q15","hh.maize.q15b","hh.maize.q16a","hh.maize.q16b","hh.maize.q16c","hh.maize.q17a","hh.maize.q17b","hh.maize.q18a","hh.maize.q18b","hh.maize.q18c","hh.maize.q19a","hh.maize.q19b","hh.maize.q19c","hh.maize.q20","hh.maize.q21","hh.maize.q22.a","hh.maize.q22.b","hh.maize.q22.c","hh.maize.q22.96","hh.maize.q23","hh.maize.q23a","hh.maize.q24","hh.maize.q24b","hh.maize.q25.a","hh.maize.q25.b","hh.maize.q25.c","hh.maize.q25.d","hh.maize.q25.e","hh.maize.q25.f","hh.maize.q25.g","hh.maize.q25.h","hh.maize.q25.i","hh.maize.q25.j","hh.maize.q25.k","hh.maize.q25.96","hh.maize.other_q25","hh.maize.q26","hh.maize.q27","hh.maize.q28","hh.maize.other_q28","hh.maize.q29","hh.maize.q30","hh.maize.q31","hh.maize.q32","hh.maize.other_q32","hh.maize.q33","hh.maize.other_q33","hh.maize.q36","hh.maize.q37","hh.maize.q38","hh.maize.q39","hh.maize.q40","vilID","parID","subID","distID"
"7/25/2019","No","n/a","Yes","M011","b",6,0.2,2,3,2,"n/a","Yes",24,"Male","a","c",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"n/a",50,"Yes","1/1/2014","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","10",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","100",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","300",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",1,1,"c","n/a","No","No","b","96","Bricks","b","n/a",5,5,5,5,5,1,2,1,1
"7/25/2019","Yes","Yes","n/a","M012","a",6,0.1,0.1,2,1,"n/a","n/a",61,"Male","a","c",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",50,"Yes","1/1/2018","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","35",100,0,"n/a","n/a","150","n/a","n/a","n/a","n/a","100",TRUE,FALSE,FALSE,FALSE,"Yes","1","Yes","50",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","No","No","b","c","n/a","b","n/a",5,4,3,5,5,2,2,1,1
"7/25/2019","No","n/a","Yes","M013","b",10,0,0.1,3,2,"n/a","Yes",33,"Male","a","c",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"n/a",70,"Yes","1/1/2018","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","30",100,0,"n/a","n/a","150","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","50",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,999,"c","n/a","No","No","b","b","n/a","b","n/a",4,2,4,5,5,4,2,1,1
"7/25/2019","Yes","Yes","n/a","M014","b",0.2,0.1,0.4,1,1,"n/a","n/a",60,"Male","a","b",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"n/a",40,"No","1/1/2016","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","999",1,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","20",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","No","No","a","c","n/a","b","n/a",1,5,3,4,4,1,3,1,1
"7/25/2019","No","n/a","Yes","M015","b",999,0.1,0.25,2,96,"Attendant/operator","No",19,"Male","e","b",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",70,"Yes","1/1/2019","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","30",100,0,"n/a","n/a","200","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","No","Yes","b","b","n/a","b","n/a",5,4,5,5,5,1,1,1,1
"7/23/2019","Yes","Yes","n/a","M016","d",0.4,0.1,0.2,8,1,"n/a","n/a",64,"Male","a","d",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"n/a",80,"Yes","1/1/1981","No",TRUE,TRUE,TRUE,"65","85","15","10","10",1,1,"150","150","100","2000","1500","1200","900","600",TRUE,TRUE,FALSE,FALSE,"No","n/a","Yes","100",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",2,1,"a","n/a","Yes","Yes","b","a","n/a","a","n/a",4,4,5,5,5,1,1,2,1
"7/23/2019","No","n/a","Yes","M017","d",0.4,0.1,0.3,9,4,"n/a","Yes",23,"Male","e","d",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",70,"Yes","1/1/2006","No",TRUE,TRUE,TRUE,"50","67","25","20","20",1,0,"150","150","150","n/a","n/a","n/a","n/a","500",TRUE,TRUE,TRUE,FALSE,"No","n/a","Yes","100",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"a","n/a","Yes","No","b","a","n/a","a","n/a",4,5,3,4,2,1,2,2,1
"7/24/2019","No","n/a","Yes","M018","b",0,0.1,0.5,2,2,"n/a","Yes",25,"Male","e","d",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"n/a",70,"Yes","1/1/2018","No",FALSE,TRUE,TRUE,"n/a","65","n/a","15","12",80,20,"n/a","200","100","2000","1800","1200","900","500",TRUE,TRUE,TRUE,FALSE,"Yes","2","Yes","100",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a",1,1,"a","n/a","Yes","Yes","b","a","n/a","a","n/a",5,3,4,4,5,6,3,3,1
"7/24/2019","Yes","Yes","n/a","M019","a",0.5,0.1,1,3,1,"n/a","n/a",48,"Female","a","d",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",100,"No","1/1/2018","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,TRUE,FALSE,"No","n/a","No","n/a",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"n/a",1,1,"c","n/a","No","Yes","b","b","n/a","b","n/a",2,4,4,3,3,3,3,3,1
"7/24/2019","Yes","Yes","n/a","M020","a",3,0.1,2,2,1,"n/a","n/a",54,"Male","a","d",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",70,"Yes","1/1/2017","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","100",TRUE,FALSE,FALSE,FALSE,"Yes","1","Yes","100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",1,1,"c","n/a","Yes","No","a","b","n/a","b","n/a",4,4,3,5,4,1,2,3,1
