"maize.owner.dist","shop_ID"
53.6913980759227,"AD_100"
39.0654875733641,"AD_100"
41.8414621442532,"AD_100"
40.3712431182149,"AD_100"
36.1281786522833,"AD_100"
38.8130056717886,"AD_100"
37.6157672612247,"AD_100"
36.833788148174,"AD_100"
35.8323377826948,"AD_100"
40.3812144904973,"AD_100"
41.3660893399611,"AD_100"
38.8231897264004,"AD_100"
33.8876004136378,"AD_100"
35.7919901124943,"AD_100"
40.5351048667658,"AD_100"
36.1664192432394,"AD_100"
36.115926101875,"AD_100"
38.8760400878918,"AD_100"
42.8160584078357,"AD_100"
32.8693984510935,"AD_100"
41.6535180510973,"AD_100"
37.2439892993702,"AD_100"
40.4968841476153,"AD_100"
53.7182080366333,"AD_100"
38.7480075566957,"AD_100"
38.6983007758212,"AD_100"
32.8666646811009,"AD_100"
NA,"AD_100"
40.3609510786808,"AD_100"
38.6675621333605,"AD_100"
41.9997216733021,"AD_100"
53.967218395639,"AD_100"
41.8625174162459,"AD_100"
37.9493299188768,"AD_100"
53.8898401124688,"AD_100"
36.3702063940086,"AD_100"
31.7659360207031,"AD_100"
31.8700098650264,"AD_100"
41.9709914801922,"AD_100"
41.0833862770525,"AD_100"
43.7853443909579,"AD_100"
36.4761575901464,"AD_100"
40.6001292380692,"AD_100"
37.9806415355099,"AD_100"
40.7063600997741,"AD_100"
41.0846680254642,"AD_100"
54.0608980153409,"AD_100"
35.8800666877991,"AD_100"
40.917772757305,"AD_100"
32.4245291571046,"AD_100"
33.9431274163634,"AD_100"
36.4377600692266,"AD_100"
41.4928964471774,"AD_100"
40.5134265794104,"AD_100"
32.8898619036682,"AD_100"
34.5853021399065,"AD_100"
38.717332898081,"AD_100"
43.980264430276,"AD_100"
34.1553014383624,"AD_100"
42.4588533715937,"AD_100"
42.3628784094169,"AD_100"
40.4929908519803,"AD_100"
34.6747270143611,"AD_100"
40.4840326282445,"AD_100"
42.6063944632426,"AD_100"
38.9347984714603,"AD_100"
41.1139011334658,"AD_100"
32.1083404120981,"AD_100"
44.2274214025359,"AD_100"
40.7594500165228,"AD_100"
41.7971643604879,"AD_100"
42.4875313122703,"AD_100"
44.1857119692583,"AD_100"
35.7553943166146,"AD_100"
53.7334066035179,"AD_100"
38.7257329218808,"AD_100"
36.1385920580948,"AD_100"
53.6170802064739,"AD_100"
53.8222125868181,"AD_100"
44.3488413957046,"AD_100"
41.5857871831589,"AD_100"
36.6127936325729,"AD_100"
35.8640183209724,"AD_100"
36.0327246136193,"AD_100"
36.1286139977521,"AD_100"
41.8893510232815,"AD_100"
44.3262197691151,"AD_100"
38.8748267345126,"AD_100"
44.4788940642415,"AD_100"
35.8089412091099,"AD_100"
38.7543767840529,"AD_100"
44.3051606485508,"AD_100"
41.0005816687401,"AD_100"
37.7787056677922,"AD_100"
42.7186141339448,"AD_100"
40.4544475243731,"AD_100"
32.893413072403,"AD_100"
44.5525675571069,"AD_100"
32.914213219498,"AD_100"
36.689953672538,"AD_100"
36.9656526650973,"AD_100"
44.599110110869,"AD_100"
32.8471343778956,"AD_100"
36.3606459647396,"AD_100"
37.7446685114692,"AD_100"
40.3380946217852,"AD_100"
53.4444483570697,"AD_100"
34.0757904830339,"AD_100"
33.891732928597,"AD_100"
38.010280969959,"AD_100"
42.156364486206,"AD_100"
37.9457918880813,"AD_100"
34.4636673798636,"AD_100"
41.2294931475193,"AD_100"
40.5265722576912,"AD_100"
39.084257462598,"AD_100"
39.089572411065,"AD_100"
41.4279267755557,"AD_100"
38.732108951461,"AD_100"
37.9405517018355,"AD_100"
34.1727403602136,"AD_100"
44.6232561179231,"AD_100"
53.5355040808159,"AD_100"
39.1672946275663,"AD_100"
44.4665281657138,"AD_100"
35.8759218755034,"AD_100"
38.6099064178673,"AD_100"
34.4806368385348,"AD_100"
42.3220026369943,"AD_100"
38.7736574446497,"AD_100"
57.1924193952914,"AD_102"
61.9439300446027,"AD_102"
57.0508704260186,"AD_102"
60.6818243906549,"AD_102"
61.0085373823645,"AD_102"
60.7702755028636,"AD_102"
54.6289292898863,"AD_102"
56.6115407572511,"AD_102"
60.5752605516568,"AD_102"
54.2715395554243,"AD_102"
60.7834723046635,"AD_102"
57.195513979459,"AD_102"
54.685037901445,"AD_102"
54.616248458061,"AD_102"
61.6343599443961,"AD_102"
56.8600195018807,"AD_102"
61.9910107881835,"AD_102"
56.7136180946413,"AD_102"
60.5320533474334,"AD_102"
61.8840333999035,"AD_102"
56.9322523642319,"AD_102"
56.5044479782416,"AD_102"
56.7898064688749,"AD_102"
60.8973796007457,"AD_102"
60.731867035248,"AD_102"
54.4058293281482,"AD_102"
61.9652969333967,"AD_102"
54.3448141330513,"AD_102"
61.9641571315443,"AD_102"
61.1116280795846,"AD_102"
61.7929778498481,"AD_102"
53.9882791559539,"AD_102"
61.5010746583933,"AD_102"
54.1197074452121,"AD_102"
56.8535092632438,"AD_102"
54.5511751130593,"AD_102"
54.4536587070122,"AD_102"
61.736088508222,"AD_102"
60.6668888005219,"AD_102"
61.6377526799162,"AD_102"
42.1659537838076,"AD_104"
44.9315290357808,"AD_104"
43.7452068469803,"AD_104"
43.3730921841766,"AD_104"
45.2506625442312,"AD_104"
47.8756277324899,"AD_104"
41.4786522213293,"AD_104"
45.359227955404,"AD_104"
37.6215932921032,"AD_104"
43.6008705747537,"AD_104"
47.5151400964052,"AD_104"
43.4212806353015,"AD_104"
42.3651132485432,"AD_104"
47.3185638201911,"AD_104"
43.3840380247259,"AD_104"
37.8414230656308,"AD_104"
41.9004061681454,"AD_104"
